par_id,codigo_1,codigo_2,municipio,establecimiento_1,establecimiento_2,similitud_nombre,direccion,jornada,plan,decision,justificacion
986,04-06-0067-46,04-06-0071-46,Tecpán Guatemala,"CENTRO EDUCATIVO ""RUNAWAL B'ALAM YA'""","CENTRO EDUCATIVO ""RUNAWAL B'ALAM YA'""",100.0,"1A. CALLE 5-75 ZONA 4, BARRIO SAN ANTONIO",MATUTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
987,04-06-0083-46,04-06-2903-46,Tecpán Guatemala,CENTRO DE FORMACIÓN TURÍSTICA E INFORMÁTICA LICEO TECPÁN,CENTRO DE FORMACIÓN TURÍSTICA E INFORMÁTICA LICEO TECPÁN,100.0,2A. CALLE 4-43 ZONA 3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
988,19-05-0050-46,19-05-0051-46,Teculutan,"COLEGIO DE INNOVACIÓN Y APRENDIZAJE TECULUTÁN ""CIAT""","COLEGIO DE INNOVACIÓN Y APRENDIZAJE TECULUTÁN ""CIAT""",100.0,BARRIO SAN JOSE,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
989,19-05-0028-46,19-05-0047-46,Teculutan,GETHSEMANE COLLEGE,GETHSEMANE COLLEGE,100.0,CAMINO QUE CONDUCE HACIA LA ALDEA LA PAZ,DOBLE,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
990,12-10-0085-46,12-10-4919-46,Tejutla,COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,COLEGIO EVANGELICO PRIVADO MIXTO 'BETHESDA',100.0,3A. CALLE 2-05 ZONA 2,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
991,05-06-0031-46,05-06-0086-46,Tiquisate,INSTITUTO TECNICO INDUSTRIAL PRIVADO DE TIQUISATE,INSTITUTO TÉCNICO INDUSTRIAL PRIVADO DE TIQUISATE,100.0,1 CALLE 1-1 ZONA 4,DOBLE,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
992,05-06-0030-46,05-06-0097-46,Tiquisate,INSTITUTO TECNICO INDUSTRIAL PRIVADO DE TIQUISATE,INSTITUTO TÉCNICO INDUSTRIAL PRIVADO DE TIQUISATE,100.0,1 CALLE 1-1 ZONA 4,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
993,05-06-0039-46,05-06-0057-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
994,05-06-0039-46,05-06-0094-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
995,05-06-0039-46,05-06-0108-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
996,05-06-0039-46,05-06-0109-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
997,05-06-0057-46,05-06-0094-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
998,05-06-0057-46,05-06-0108-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
999,05-06-0057-46,05-06-0109-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1000,05-06-0094-46,05-06-0108-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1001,05-06-0094-46,05-06-0109-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1002,05-06-0108-46,05-06-0109-46,Tiquisate,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,COLEGIO TECNOLÓGICO EN INFORMÁTICA MILJU-NET,100.0,ALDEA TICANLÚ,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1003,05-06-0099-46,05-06-0113-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM 178.3,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1004,05-06-0034-46,05-06-0051-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1005,05-06-0034-46,05-06-0066-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1006,05-06-0034-46,05-06-0083-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1007,05-06-0051-46,05-06-0066-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1008,05-06-0051-46,05-06-0083-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1009,05-06-0066-46,05-06-0083-46,Tiquisate,"COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""",100.0,ALDEA TICANLÚ KM. 178.3,VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1010,05-06-0123-46,05-06-0124-46,Tiquisate,CENTRO EDUCATIVO OPORTUNIDAD C.E.O.,CENTRO EDUCATIVO OPORTUNIDAD C.E.O.,100.0,PARCELA 124 SECTOR 2 PARCELAMIENTO EL ARISCO,DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1011,05-06-0028-46,05-06-0084-46,Tiquisate,LICEO CRISTIANO SHALEM,LICEO CRISTIANO SHALEM,100.0,"PARCELAS MUNICIPALES, EL ASTILLERO",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1012,05-06-0053-46,05-06-0054-46,Tiquisate,INSTITUTO TECNOLOGIA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",DOBLE,FIN DE SEMANA,CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1013,05-06-0080-46,05-06-0082-46,Tiquisate,INSTITUTO TECNOLOGIA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1014,05-06-0080-46,05-06-0100-46,Tiquisate,INSTITUTO TECNOLOGIA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1015,05-06-0080-46,05-06-0103-46,Tiquisate,INSTITUTO TECNOLOGIA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1016,05-06-0082-46,05-06-0100-46,Tiquisate,INSTITUTO TECNOLOGÍA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
1017,05-06-0082-46,05-06-0103-46,Tiquisate,INSTITUTO TECNOLOGÍA Y CIENCIA,INSTITUTO TECNOLOGÍA Y CIENCIA,100.0,"VILLA CHINITO, KILOMETRO 143 FRENTE AL HOSPITAL NACIONAL",VESPERTINA,DIARIO(REGULAR),CONSERVAR,Los códigos MINEDUC son distintos y representan registros administrativos independientes; no existe evidencia oficial para fusionarlos o eliminar uno.
